Dataset,CaseID,GT_Label,Success,ResolvedPhase,n_calls,input_tokens,output_tokens,elapsed_s
alfworld,Qwen3-8B_017_id_17___chat_b009_t00_e01-5b8f974f,Stopping Too Early,1,SelfReflection,3,4229,672,9.81
alfworld,Qwen3-8B_018_id_18___chat_b009_t00_e03-d2034edc,Circular or Invalid Reasoning,1,SelfReflection,6,7785,1225,18.13
alfworld,Qwen3-8B_019_id_19___chat_b012_t00_e00-d3248f80,Faulty Task Structuring,0,Failed,9,14705,2078,29.56
alfworld,Qwen3-8B_020_id_20___chat_b012_t00_e01-5b8f974f,Tool Invocation Exception,0,Failed,9,12534,1505,24.36
gaia,GPT-4o_001_memory_b000_t00_e00-7743eba0,Overextended Planning,0,Failed,9,13946,1879,28.47
gaia,GPT-4o_002_memory_b000_t00_e01-7ab08a46,Tool Invocation Exception,0,Failed,9,11739,1866,30.28
gaia,GPT-4o_003_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,0,Failed,9,11313,2453,32.6
gaia,GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,Faulty Task Structuring,0,Failed,9,11750,2497,35.81
gaia,GPT-4o_005_memory_b000_t00_e05-c9015705,Faulty Task Structuring,0,Failed,9,13363,2211,33.54
gaia,GPT-4o_006_memory_b000_t00_e06-71f77595,Outdated Memory,0,Failed,9,12803,2201,31.75
gaia,GPT-4o_007_memory_b000_t00_e08-f572f2ad,Outdated Memory,0,Failed,9,14055,2530,35.26
gaia,GPT-4o_008_memory_b000_t00_e09-f0557a9f,Faulty Task Structuring,0,Failed,9,12373,1929,29.88
gaia,GPT-4o_009_memory_b001_t00_e01-7ab08a46,Overextended Planning,0,Failed,9,13436,2160,31.06
gaia,GPT-4o_010_memory_b001_t00_e02-8d639e26,Faulty Task Structuring,0,Failed,9,13401,2187,34.08
gaia,GPT-4o_011_memory_b001_t00_e03-21a3a421,Outdated Memory,0,Failed,9,13863,2338,35.76
gaia,GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,Tool Output Exception,0,Failed,9,14140,2174,32.38
gaia,GPT-4o_013_memory_b001_t00_e05-c9015705,Tool Invocation Exception,0,Failed,9,14195,2458,35.68
gaia,GPT-4o_014_memory_b001_t00_e06-71f77595,Overextended Planning,0,Failed,9,13595,1777,27.74
gaia,GPT-4o_015_memory_b001_t00_e07-f5b5d66a,Ambiguous Goal,0,Failed,9,13641,2381,34.11
gaia,GPT-4o_016_memory_b001_t00_e08-f572f2ad,Faulty Task Structuring,0,Failed,9,13462,1951,31.02
gaia,Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0,Overextended Planning,0,Failed,9,19043,2262,35.64
gaia,Llama3.3-70B-Turbo_002_memory_b000_t00_e01-7ab08a46,Overextended Planning,0,Failed,9,13843,2236,34.23
gaia,Llama3.3-70B-Turbo_003_memory_b000_t00_e02-8d639e26,Circular or Invalid Reasoning,0,Failed,9,13464,2191,31.37
gaia,Llama3.3-70B-Turbo_004_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,0,Failed,9,11671,2185,32.31
webshop,GPT-4o_001_chat_b000_t00_e00-d3248f80,Overextended Planning,0,Failed,9,13879,2039,31.33
webshop,GPT-4o_002_chat_b000_t00_e01-5b8f974f,Error Propagation,0,Failed,9,15818,2632,35.8
webshop,GPT-4o_003_chat_b000_t00_e02-1e119842,API Semantic Mismatch,1,SelfReflection,3,4282,713,13.51
webshop,GPT-4o_004_chat_b000_t00_e03-21a3a421,Stopping Too Early,1,SelfReflection,3,4364,749,11.37
webshop,GPT-4o_005_chat_b000_t00_e04-7e3c13ba,Overextended Planning,1,SelfReflection,3,4361,588,9.53
webshop,GPT-4o_006_chat_b000_t00_e05-996588dc,Overextended Planning,1,SelfReflection,3,4727,925,11.91
webshop,GPT-4o_007_chat_b000_t00_e06-a15c0dc2,Circular or Invalid Reasoning,1,SelfReflection,3,4185,877,11.07
webshop,GPT-4o_008_chat_b000_t00_e07-d50ae81f,Overextended Planning,0,Failed,9,14098,2683,37.74
webshop,GPT-4o_009_chat_b000_t00_e08-6a7bac22,Faulty Task Structuring,1,SelfReflection,3,4300,835,10.75
webshop,GPT-4o_010_chat_b000_t00_e09-f0557a9f,Hallucinated Facts,0,Failed,9,14221,2259,29.99
webshop,GPT-4o_011_chat_b000_t00_e10-69d80a84,Overextended Planning,1,SelfReflection,3,4633,720,9.85
webshop,GPT-4o_012_chat_b000_t00_e11-1cc61441,Ambiguous Goal,1,SelfReflection,3,4386,771,10.63
webshop,GPT-4o_013_chat_b000_t00_e12-f27d2887,Hallucinated Facts,0,Failed,9,13763,1805,33.98
webshop,GPT-4o_014_chat_b000_t00_e13-c39f2c41,Hallucinated Facts,0,Failed,9,15098,2477,31.03
webshop,GPT-4o_015_chat_b000_t00_e14-1d03d2d8,Outdated Memory,0,Failed,9,15197,2469,34.11
webshop,Llama3.3-70B-Turbo_020_webshop_task_020,Outdated Memory,0,Failed,9,15031,2369,33.11
webshop,Llama3.3-70B-Turbo_019_webshop_task_019,Faulty Task Structuring,1,SelfReflection,3,4102,915,13.03
webshop,Llama3.3-70B-Turbo_018_webshop_task_018,Faulty Task Structuring,1,SelfReflection,3,4166,925,12.29
webshop,Llama3.3-70B-Turbo_017_webshop_task_017,Hallucinated Facts,0,Failed,9,14093,2085,31.29
webshop,Llama3.3-70B-Turbo_016_webshop_task_016,Outdated Memory,0,Failed,9,14665,2368,33.86
