Dataset,CaseID,GT_Label,Predicted_Label,Correct,Success,ResolvedPhase,n_calls,input_tokens,output_tokens,elapsed_s
gaia,GPT-4o_009_memory_b001_t00_e01-7ab08a46,Overextended Planning,Unknown,0,0,Failed,10,24735,3136,42.57
gaia,GPT-4o_010_memory_b001_t00_e02-8d639e26,Faulty Task Structuring,Hallucinated Facts,0,1,Escalator,10,24173,3029,44.09
gaia,GPT-4o_011_memory_b001_t00_e03-21a3a421,Outdated Memory,Hallucinated Facts,0,0,Failed,10,24798,3355,45.21
gaia,GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,Tool Output Exception,Hallucinated Facts,0,1,Local,5,13251,1450,22.02
gaia,GPT-4o_013_memory_b001_t00_e05-c9015705,Tool Invocation Exception,Stopping Too Early,0,1,Escalator,10,24450,2958,41.26
gaia,GPT-4o_014_memory_b001_t00_e06-71f77595,Overextended Planning,Tool Output Exception,0,1,Escalator,10,25570,3182,44.21
gaia,GPT-4o_015_memory_b001_t00_e07-f5b5d66a,Ambiguous Goal,Ambiguous Goal,1,0,Failed,10,24519,3169,42.64
gaia,GPT-4o_016_memory_b001_t00_e08-f572f2ad,Faulty Task Structuring,Overextended Planning,0,1,Escalator,13,26208,3285,48.69
gaia,Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0,Overextended Planning,Output Validation Failure,0,1,Escalator,10,32892,2758,40.38
gaia,Llama3.3-70B-Turbo_002_memory_b000_t00_e01-7ab08a46,Overextended Planning,Tool Invocation Exception,0,1,Escalator,10,25021,3525,47.21
gaia,Llama3.3-70B-Turbo_003_memory_b000_t00_e02-8d639e26,Circular or Invalid Reasoning,Tool Invocation Exception,0,1,Escalator,10,23627,3026,43.08
gaia,Llama3.3-70B-Turbo_004_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,Contradictory Reasoning,0,0,Failed,10,20895,3203,44.26
webshop,GPT-4o_001_chat_b000_t00_e00-d3248f80,Overextended Planning,Overextended Planning,1,1,Escalator,13,25727,2792,41.01
webshop,GPT-4o_002_chat_b000_t00_e01-5b8f974f,Error Propagation,Overextended Planning,0,1,Escalator,13,26378,2642,39.3
webshop,GPT-4o_003_chat_b000_t00_e02-1e119842,API Semantic Mismatch,Faulty Task Structuring,0,1,Local,4,8689,847,12.7
webshop,GPT-4o_004_chat_b000_t00_e03-21a3a421,Stopping Too Early,Contradictory Reasoning,0,1,Local,3,8125,865,10.96
webshop,GPT-4o_005_chat_b000_t00_e04-7e3c13ba,Overextended Planning,Overextended Planning,1,1,Local,4,8682,753,10.96
webshop,GPT-4o_006_chat_b000_t00_e05-996588dc,Overextended Planning,Overextended Planning,1,1,Local,4,9008,919,15.25
webshop,GPT-4o_007_chat_b000_t00_e06-a15c0dc2,Circular or Invalid Reasoning,Stopping Too Early,0,1,Local,3,7642,829,11.63
webshop,GPT-4o_008_chat_b000_t00_e07-d50ae81f,Overextended Planning,Overextended Planning,1,1,Escalator,13,24230,2339,35.44
webshop,GPT-4o_009_chat_b000_t00_e08-6a7bac22,Faulty Task Structuring,Overextended Planning,0,1,Escalator,13,24766,2734,40.98
webshop,GPT-4o_010_chat_b000_t00_e09-f0557a9f,Hallucinated Facts,UI Element Misclick,0,1,Escalator,10,25456,2955,41.2
webshop,GPT-4o_011_chat_b000_t00_e10-69d80a84,Overextended Planning,Output Validation Failure,0,0,Failed,10,26643,2900,40.59
webshop,GPT-4o_012_chat_b000_t00_e11-1cc61441,Ambiguous Goal,Overextended Planning,0,1,Escalator,13,25661,2711,40.54
webshop,GPT-4o_013_chat_b000_t00_e12-f27d2887,Hallucinated Facts,Faulty Task Structuring,0,1,Escalator,13,26065,3085,52.35
webshop,GPT-4o_014_chat_b000_t00_e13-c39f2c41,Hallucinated Facts,Overextended Planning,0,0,Failed,13,26410,3062,48.38
webshop,GPT-4o_015_chat_b000_t00_e14-1d03d2d8,Outdated Memory,Output Validation Failure,0,0,Failed,10,26708,3015,37.29
webshop,Llama3.3-70B-Turbo_020_webshop_task_020,Outdated Memory,Output Validation Failure,0,0,Failed,10,26018,2831,39.87
webshop,Llama3.3-70B-Turbo_019_webshop_task_019,Faulty Task Structuring,Context Corruption,0,1,Escalator,13,24589,3349,46.36
webshop,Llama3.3-70B-Turbo_018_webshop_task_018,Faulty Task Structuring,Output Validation Failure,0,1,Escalator,10,24031,2777,39.02
webshop,Llama3.3-70B-Turbo_017_webshop_task_017,Hallucinated Facts,Stopping Too Early,0,1,Escalator,10,25957,3111,43.01
webshop,Llama3.3-70B-Turbo_016_webshop_task_016,Outdated Memory,Circular or Invalid Reasoning,0,0,Failed,10,25557,3169,44.34
