Dataset,CaseID,GT_Label,Predicted_Label,Correct,Predicted_Success,ResolvedPhase
gaia,Llama3.3-70B-Turbo_002_memory_b000_t00_e01-7ab08a46,Overextended Planning,Tool Invocation Exception,0,1,Escalator
gaia,Llama3.3-70B-Turbo_003_memory_b000_t00_e02-8d639e26,Tool Invocation Exception,Tool Invocation Exception,1,1,Escalator
gaia,Llama3.3-70B-Turbo_004_memory_b000_t00_e03-21a3a421,Faulty Task Structuring,Contradictory Reasoning,0,0,Failed
webshop,GPT-4o_001_chat_b000_t00_e00-d3248f80,Overextended Planning,Overextended Planning,1,0,Failed
webshop,GPT-4o_002_chat_b000_t00_e01-5b8f974f,Error Propagation,Overextended Planning,0,1,Local
webshop,GPT-4o_003_chat_b000_t00_e02-1e119842,API Semantic Mismatch,Overextended Planning,0,1,Local
webshop,GPT-4o_004_chat_b000_t00_e03-21a3a421,Stopping Too Early,Contradictory Reasoning,0,1,Local
webshop,GPT-4o_005_chat_b000_t00_e04-7e3c13ba,Overextended Planning,Overextended Planning,1,0,Failed
webshop,GPT-4o_006_chat_b000_t00_e05-996588dc,Overextended Planning,API Semantic Mismatch,0,1,Local
webshop,GPT-4o_007_chat_b000_t00_e06-a15c0dc2,Circular or Invalid Reasoning,Stopping Too Early,0,1,Local
webshop,GPT-4o_008_chat_b000_t00_e07-d50ae81f,Overextended Planning,Overextended Planning,1,1,Escalator
webshop,GPT-4o_009_chat_b000_t00_e08-6a7bac22,Faulty Task Structuring,Overextended Planning,0,1,Local
webshop,GPT-4o_010_chat_b000_t00_e09-f0557a9f,Hallucinated Facts,Tool Output Exception,0,1,Escalator
webshop,GPT-4o_011_chat_b000_t00_e10-69d80a84,Overextended Planning,Output Validation Failure,0,1,Escalator
webshop,GPT-4o_012_chat_b000_t00_e11-1cc61441,Faulty Task Structuring,Overextended Planning,0,1,Local
webshop,GPT-4o_013_chat_b000_t00_e12-f27d2887,Hallucinated Facts,Conflicting Goal,0,1,Escalator
webshop,GPT-4o_014_chat_b000_t00_e13-c39f2c41,Hallucinated Facts,Overextended Planning,0,1,Local
webshop,GPT-4o_015_chat_b000_t00_e14-1d03d2d8,Outdated Memory,Output Validation Failure,0,0,Failed
webshop,Llama3.3-70B-Turbo_020_webshop_task_020,Outdated Memory,Output Validation Failure,0,0,Failed
webshop,Llama3.3-70B-Turbo_019_webshop_task_019,Faulty Task Structuring,Context Corruption,0,1,Local
webshop,Llama3.3-70B-Turbo_018_webshop_task_018,Faulty Task Structuring,Output Validation Failure,0,1,Local
webshop,Llama3.3-70B-Turbo_017_webshop_task_017,Hallucinated Facts,Overextended Planning,0,1,Local
webshop,Llama3.3-70B-Turbo_016_webshop_task_016,Outdated Memory,Circular or Invalid Reasoning,0,0,Failed
